interaction_id,customer_id,interaction_type,datetime,notes
61,20,Web,2025-03-27 02:31:29,hành_động='Thêm vào giỏ hàng'; sản_phẩm='Serum Vitamin C'; thương_hiệu='Silky'; từ_khóa='trắng da'
62,20,Call,2024-12-05 06:25:16,Gửi mã giảm giá 10% cho đơn đầu tiên
63,20,Call,2024-12-21 23:03:05,Phản hồi trải nghiệm sau khi mua
64,20,Email,2024-10-06 11:40:13,Tư vấn combo dưỡng da
65,20,Web,2025-03-12 05:11:22,hành_động='Thêm vào giỏ hàng'; sản_phẩm='Son lì tông nude'; thương_hiệu='PureLeaf'; từ_khóa='dưỡng ẩm'
66,20,Meeting,2025-01-18 10:54:51,Gửi mã giảm giá 10% cho đơn đầu tiên
67,21,Meeting,2025-10-09 05:01:00,Hỏi tình trạng da và gợi ý routine
68,21,Social Media,2025-03-23 14:58:55,Gửi mã giảm giá 10% cho đơn đầu tiên
69,22,Meeting,2024-02-29 01:43:35,Giới thiệu sản phẩm mới ra mắt
70,22,Meeting,2024-01-07 14:18:56,Tư vấn combo dưỡng da
71,22,Email,2024-07-08 05:51:17,Hỏi tình trạng da và gợi ý routine
72,22,Web,2024-08-13 09:09:01,hành_động='Bỏ vào danh sách quan tâm'; sản_phẩm='Kem chống nắng SPF50'; thương_hiệu='Silky'; từ_khóa='dưỡng ẩm'
73,22,Call,2023-12-18 03:51:22,Tư vấn combo dưỡng da
74,22,Email,2024-07-18 15:33:29,Phản hồi trải nghiệm sau khi mua
75,23,Meeting,2025-02-27 21:43:41,Phản hồi trải nghiệm sau khi mua
76,23,Web,2024-08-29 15:49:02,hành_động='Thêm vào giỏ hàng'; sản_phẩm='Toner làm dịu'; thương_hiệu='GlowMe'; từ_khóa='son lì'
77,24,Call,2025-01-29 10:49:13,Tư vấn combo dưỡng da
78,24,Call,2025-09-28 21:26:56,Xác nhận tồn kho và thời gian giao hàng
79,24,Meeting,2025-06-26 00:33:31,Phản hồi trải nghiệm sau khi mua
80,24,Social Media,2025-10-07 06:39:20,Tư vấn combo dưỡng da
81,25,Email,2023-11-25 01:08:34,Gửi mã giảm giá 10% cho đơn đầu tiên
82,26,Call,2024-10-10 19:37:34,Tư vấn combo dưỡng da
83,26,Chat,2024-11-12 11:51:57,Tư vấn combo dưỡng da
84,26,Social Media,2024-10-24 13:33:55,Xác nhận tồn kho và thời gian giao hàng
85,26,Email,2024-06-10 18:57:41,Phản hồi trải nghiệm sau khi mua
86,27,Call,2025-08-14 07:00:07,Hỏi tình trạng da và gợi ý routine
87,28,Web,2023-04-08 16:16:51,hành_động='Thêm vào giỏ hàng'; sản_phẩm='Sữa rửa mặt dịu nhẹ'; thương_hiệu='Lumi'; từ_khóa='da nhạy cảm'
88,28,Meeting,2023-09-06 14:43:02,Tư vấn combo dưỡng da
89,28,Email,2023-04-23 21:29:44,Phản hồi trải nghiệm sau khi mua
90,28,Chat,2023-06-06 23:27:24,Hỏi tình trạng da và gợi ý routine
91,28,Social Media,2023-11-11 04:15:43,Tư vấn combo dưỡng da
92,29,Social Media,2025-07-27 14:16:02,Hỏi tình trạng da và gợi ý routine
93,29,Meeting,2025-10-08 23:56:00,Gửi mã giảm giá 10% cho đơn đầu tiên
94,29,Meeting,2025-08-09 12:39:08,Giới thiệu sản phẩm mới ra mắt
95,30,Social Media,2024-10-02 04:01:44,Gửi mã giảm giá 10% cho đơn đầu tiên
96,30,Social Media,2024-08-30 17:50:00,Tư vấn combo dưỡng da
97,30,Chat,2025-04-27 18:43:05,Phản hồi trải nghiệm sau khi mua
98,31,Social Media,2025-10-09 08:39:00,Tư vấn combo dưỡng da
99,31,Social Media,2025-10-08 20:27:00,Xác nhận tồn kho và thời gian giao hàng
100,31,Email,2025-10-09 00:51:00,Gửi mã giảm giá 10% cho đơn đầu tiên
101,31,Email,2025-10-08 21:26:00,Gửi mã giảm giá 10% cho đơn đầu tiên
102,32,Social Media,2025-10-09 02:43:00,Gửi mã giảm giá 10% cho đơn đầu tiên
103,33,Meeting,2023-07-28 13:25:15,Giới thiệu sản phẩm mới ra mắt
104,33,Call,2023-01-31 08:10:07,Gửi mã giảm giá 10% cho đơn đầu tiên
105,33,Social Media,2023-03-13 16:23:08,Hỏi tình trạng da và gợi ý routine
106,33,Web,2023-06-10 11:58:57,hành_động='Tìm kiếm từ khóa'; sản_phẩm='Kem dưỡng ẩm ban đêm'; thương_hiệu='HerbaCare'; từ_khóa='da nhạy cảm'
107,33,Meeting,2023-06-01 00:47:12,Tư vấn combo dưỡng da
108,34,Social Media,2025-04-22 10:56:13,Gửi mã giảm giá 10% cho đơn đầu tiên
109,34,Chat,2025-07-20 06:25:50,Tư vấn combo dưỡng da
110,35,Call,2023-10-23 16:40:37,Phản hồi trải nghiệm sau khi mua
111,35,Call,2023-07-13 19:55:55,Xác nhận tồn kho và thời gian giao hàng
112,35,Meeting,2023-02-21 18:19:19,Xác nhận tồn kho và thời gian giao hàng
113,35,Meeting,2023-08-22 16:46:54,Xác nhận tồn kho và thời gian giao hàng
114,36,Web,2024-05-20 18:10:51,hành_động='Bỏ vào danh sách quan tâm'; sản_phẩm='Son lì tông nude'; thương_hiệu='Lumi'; từ_khóa='dưỡng ẩm'
115,37,Social Media,2024-06-26 03:06:04,Giới thiệu sản phẩm mới ra mắt
116,38,Web,2025-07-31 21:09:06,hành_động='Xem sản phẩm'; sản_phẩm='Sữa rửa mặt dịu nhẹ'; thương_hiệu='Silky'; từ_khóa='trắng da'
117,38,Web,2025-06-06 01:17:41,hành_động='Bỏ vào danh sách quan tâm'; sản_phẩm='Nước hoa hồng'; thương_hiệu='PureLeaf'; từ_khóa='trị mụn'
118,38,Meeting,2025-07-14 16:23:21,Xác nhận tồn kho và thời gian giao hàng
119,38,Email,2025-05-02 10:15:21,Tư vấn combo dưỡng da
120,38,Web,2025-06-14 04:26:00,hành_động='Xem chi tiết thương hiệu'; sản_phẩm='Serum Vitamin C'; thương_hiệu='AquaSkin'; từ_khóa='son lì'
121,39,Email,2024-01-24 14:51:24,Gửi mã giảm giá 10% cho đơn đầu tiên
122,39,Web,2024-05-08 01:03:41,hành_động='Xem sản phẩm'; sản_phẩm='Dầu gội phục hồi'; thương_hiệu='AquaSkin'; từ_khóa='da nhạy cảm'
123,39,Social Media,2024-02-17 15:20:16,Phản hồi trải nghiệm sau khi mua
124,39,Social Media,2024-05-23 16:30:42,Phản hồi trải nghiệm sau khi mua
125,39,Call,2024-04-21 14:24:58,Xác nhận tồn kho và thời gian giao hàng
126,40,Call,2024-11-19 21:59:30,Gửi mã giảm giá 10% cho đơn đầu tiên
127,40,Call,2024-12-10 20:28:28,Xác nhận tồn kho và thời gian giao hàng
128,40,Call,2024-09-11 04:22:48,Gửi mã giảm giá 10% cho đơn đầu tiên
129,41,Email,2023-12-21 13:56:43,Phản hồi trải nghiệm sau khi mua
130,41,Email,2023-10-31 18:31:41,Hỏi tình trạng da và gợi ý routine
131,41,Meeting,2023-05-02 06:47:39,Tư vấn combo dưỡng da
132,41,Email,2023-10-01 17:08:29,Hỏi tình trạng da và gợi ý routine
133,41,Email,2023-12-05 19:03:59,Xác nhận tồn kho và thời gian giao hàng
134,41,Web,2023-11-05 14:59:18,hành_động='Thêm vào giỏ hàng'; sản_phẩm='Kem chống nắng SPF50'; thương_hiệu='AquaSkin'; từ_khóa='dưỡng ẩm'
135,42,Social Media,2023-11-20 16:08:55,Giới thiệu sản phẩm mới ra mắt
136,42,Email,2023-09-12 04:25:44,Xác nhận tồn kho và thời gian giao hàng
137,42,Email,2023-06-28 06:39:03,Tư vấn combo dưỡng da
138,42,Call,2023-07-25 02:08:07,Xác nhận tồn kho và thời gian giao hàng
139,42,Meeting,2023-07-02 20:44:13,Hỏi tình trạng da và gợi ý routine
140,43,Meeting,2025-06-03 08:10:36,Hỏi tình trạng da và gợi ý routine
141,43,Web,2025-03-07 01:28:06,hành_động='Bắt đầu thanh toán'; sản_phẩm='Mặt nạ đất sét'; thương_hiệu='GlowMe'; từ_khóa='trắng da'
142,44,Chat,2025-10-08 20:56:00,Tư vấn combo dưỡng da
143,44,Email,2025-10-09 04:46:00,Gửi mã giảm giá 10% cho đơn đầu tiên
144,45,Chat,2025-08-12 10:45:28,Hỏi tình trạng da và gợi ý routine
145,45,Meeting,2025-05-13 13:30:04,Giới thiệu sản phẩm mới ra mắt
146,45,Call,2025-08-21 00:42:06,Tư vấn combo dưỡng da
147,45,Social Media,2025-02-07 01:53:08,Tư vấn combo dưỡng da
148,45,Meeting,2025-08-20 23:25:28,Phản hồi trải nghiệm sau khi mua
149,45,Web,2025-01-14 22:40:59,hành_động='Bỏ vào danh sách quan tâm'; sản_phẩm='Son lì tông nude'; thương_hiệu='Silky'; từ_khóa='dưỡng ẩm'
150,46,Web,2024-10-23 06:00:02,hành_động='Thêm vào giỏ hàng'; sản_phẩm='Son lì tông nude'; thương_hiệu='Lumi'; từ_khóa='trị mụn'
151,46,Meeting,2025-01-01 02:21:52,Gửi mã giảm giá 10% cho đơn đầu tiên
152,47,Meeting,2025-04-04 12:52:48,Phản hồi trải nghiệm sau khi mua
153,47,Social Media,2025-10-08 21:12:00,Giới thiệu sản phẩm mới ra mắt
154,47,Call,2025-04-30 07:06:27,Xác nhận tồn kho và thời gian giao hàng
155,47,Chat,2025-10-09 04:28:00,Hỏi tình trạng da và gợi ý routine
156,47,Call,2025-09-27 16:00:54,Tư vấn combo dưỡng da
157,47,Web,2025-07-03 21:26:02,hành_động='Xóa khỏi giỏ hàng'; sản_phẩm='Mặt nạ đất sét'; thương_hiệu='PureLeaf'; từ_khóa='da nhạy cảm'
158,48,Social Media,2025-05-10 23:48:05,Phản hồi trải nghiệm sau khi mua
159,48,Social Media,2025-07-03 22:56:42,Hỏi tình trạng da và gợi ý routine
160,48,Social Media,2025-01-02 19:27:59,Xác nhận tồn kho và thời gian giao hàng
161,48,Social Media,2025-01-21 06:07:34,Phản hồi trải nghiệm sau khi mua
162,48,Chat,2025-05-24 21:25:08,Xác nhận tồn kho và thời gian giao hàng
163,48,Email,2024-12-23 12:00:41,Phản hồi trải nghiệm sau khi mua
164,49,Call,2025-01-22 16:45:02,Xác nhận tồn kho và thời gian giao hàng
165,49,Web,2025-04-03 11:28:58,hành_động='Bắt đầu thanh toán'; sản_phẩm='Sữa rửa mặt dịu nhẹ'; thương_hiệu='AquaSkin'; từ_khóa='trắng da'
166,49,Web,2025-03-21 13:19:09,hành_động='Xem sản phẩm'; sản_phẩm='Kem chống nắng SPF50'; thương_hiệu='Lumi'; từ_khóa='chống nắng'
167,50,Social Media,2025-01-20 00:22:44,Hỏi tình trạng da và gợi ý routine
168,50,Meeting,2025-07-20 21:35:57,Tư vấn combo dưỡng da
169,51,Meeting,2025-08-23 11:53:24,Gửi mã giảm giá 10% cho đơn đầu tiên
170,52,Web,2025-01-20 08:47:34,hành_động='Thêm vào giỏ hàng'; sản_phẩm='Nước hoa hồng'; thương_hiệu='AquaSkin'; từ_khóa='chống nắng'
171,52,Web,2024-10-10 15:02:00,hành_động='Xóa khỏi giỏ hàng'; sản_phẩm='Mặt nạ đất sét'; thương_hiệu='AquaSkin'; từ_khóa='chống nắng'
172,52,Chat,2024-10-15 18:33:17,Gửi mã giảm giá 10% cho đơn đầu tiên
173,53,Email,2025-02-10 21:58:18,Phản hồi trải nghiệm sau khi mua
174,53,Chat,2024-11-04 20:36:23,Giới thiệu sản phẩm mới ra mắt
175,54,Meeting,2023-10-14 11:23:13,Hỏi tình trạng da và gợi ý routine
176,54,Chat,2023-10-11 22:10:58,Gửi mã giảm giá 10% cho đơn đầu tiên
177,54,Social Media,2023-05-22 17:10:25,Tư vấn combo dưỡng da
178,54,Web,2023-06-04 11:22:24,hành_động='Tìm kiếm từ khóa'; sản_phẩm='Tẩy trang micellar'; thương_hiệu='Silky'; từ_khóa='trắng da'
179,54,Email,2023-06-04 06:00:24,Tư vấn combo dưỡng da
180,54,Web,2023-09-05 16:59:08,hành_động='Bỏ vào danh sách quan tâm'; sản_phẩm='Kem chống nắng SPF50'; thương_hiệu='AquaSkin'; từ_khóa='son lì'
181,55,Call,2024-07-26 07:44:29,Hỏi tình trạng da và gợi ý routine
182,56,Meeting,2025-10-09 05:31:00,Hỏi tình trạng da và gợi ý routine
183,56,Email,2025-10-09 09:20:00,Xác nhận tồn kho và thời gian giao hàng
184,56,Social Media,2025-10-08 22:26:00,Xác nhận tồn kho và thời gian giao hàng
185,57,Web,2024-04-13 04:42:38,hành_động='Xóa khỏi giỏ hàng'; sản_phẩm='Tẩy trang micellar'; thương_hiệu='HerbaCare'; từ_khóa='da nhạy cảm'
186,57,Chat,2023-12-09 21:08:00,Xác nhận tồn kho và thời gian giao hàng
187,57,Call,2024-07-31 11:10:20,Giới thiệu sản phẩm mới ra mắt
188,57,Email,2023-11-26 23:31:59,Giới thiệu sản phẩm mới ra mắt
189,57,Call,2024-06-17 08:24:06,Phản hồi trải nghiệm sau khi mua
190,58,Chat,2023-06-12 18:49:11,Giới thiệu sản phẩm mới ra mắt
191,58,Chat,2023-10-23 02:39:16,Hỏi tình trạng da và gợi ý routine
192,58,Web,2023-06-26 16:00:09,hành_động='Bắt đầu thanh toán'; sản_phẩm='Dầu gội phục hồi'; thương_hiệu='Silky'; từ_khóa='da nhạy cảm'
193,59,Social Media,2024-12-10 23:53:35,Gửi mã giảm giá 10% cho đơn đầu tiên
194,59,Social Media,2024-08-18 22:40:19,Giới thiệu sản phẩm mới ra mắt
195,59,Meeting,2025-01-31 23:47:50,Phản hồi trải nghiệm sau khi mua
196,59,Web,2024-07-30 02:46:06,hành_động='Xem sản phẩm'; sản_phẩm='Nước hoa hồng'; thương_hiệu='Lumi'; từ_khóa='son lì'
197,59,Call,2024-08-16 17:43:14,Phản hồi trải nghiệm sau khi mua
198,60,Social Media,2023-09-12 05:49:35,Tư vấn combo dưỡng da
199,60,Email,2023-12-28 07:20:06,Giới thiệu sản phẩm mới ra mắt
200,60,Email,2023-10-10 04:06:40,Gửi mã giảm giá 10% cho đơn đầu tiên
201,60,Call,2023-10-17 08:43:39,Phản hồi trải nghiệm sau khi mua
202,61,Meeting,2024-03-01 02:39:39,Gửi mã giảm giá 10% cho đơn đầu tiên
203,61,Web,2023-08-01 22:27:29,hành_động='Xóa khỏi giỏ hàng'; sản_phẩm='Tẩy trang micellar'; thương_hiệu='HerbaCare'; từ_khóa='da nhạy cảm'
204,61,Meeting,2023-09-05 00:07:08,Xác nhận tồn kho và thời gian giao hàng
205,61,Call,2023-11-17 02:09:16,Hỏi tình trạng da và gợi ý routine
206,61,Social Media,2023-07-09 02:01:24,Tư vấn combo dưỡng da
207,61,Call,2024-02-09 01:54:52,Xác nhận tồn kho và thời gian giao hàng
208,62,Web,2025-09-26 21:15:19,hành_động='Xem sản phẩm'; sản_phẩm='Kem chống nắng SPF50'; thương_hiệu='AquaSkin'; từ_khóa='chống nắng'
209,62,Web,2025-06-26 16:53:42,hành_động='Xem sản phẩm'; sản_phẩm='Nước hoa hồng'; thương_hiệu='Lumi'; từ_khóa='dưỡng ẩm'
210,63,Meeting,2024-11-01 03:41:28,Gửi mã giảm giá 10% cho đơn đầu tiên
211,63,Email,2024-10-30 04:29:39,Gửi mã giảm giá 10% cho đơn đầu tiên
212,63,Meeting,2025-04-17 17:29:36,Giới thiệu sản phẩm mới ra mắt
213,63,Web,2024-11-24 09:41:46,hành_động='Bỏ vào danh sách quan tâm'; sản_phẩm='Sữa rửa mặt dịu nhẹ'; thương_hiệu='GlowMe'; từ_khóa='son lì'
214,63,Call,2025-06-24 08:56:00,Tư vấn combo dưỡng da
215,63,Chat,2025-04-29 13:22:21,Hỏi tình trạng da và gợi ý routine
216,64,Email,2024-08-25 14:02:31,Tư vấn combo dưỡng da
217,64,Social Media,2024-08-25 00:58:28,Xác nhận tồn kho và thời gian giao hàng
218,64,Web,2024-04-01 10:08:41,hành_động='Thêm vào giỏ hàng'; sản_phẩm='Mặt nạ đất sét'; thương_hiệu='GlowMe'; từ_khóa='chống nắng'
219,65,Chat,2025-08-06 14:19:52,Hỏi tình trạng da và gợi ý routine
220,65,Chat,2025-07-01 02:58:08,Phản hồi trải nghiệm sau khi mua
221,65,Meeting,2025-07-15 14:08:07,Xác nhận tồn kho và thời gian giao hàng
222,65,Chat,2025-10-09 04:08:00,Xác nhận tồn kho và thời gian giao hàng
223,65,Web,2025-09-23 23:26:41,hành_động='Xem sản phẩm'; sản_phẩm='Toner làm dịu'; thương_hiệu='Silky'; từ_khóa='chống nắng'
224,65,Email,2025-07-17 18:47:58,Hỏi tình trạng da và gợi ý routine
225,66,Email,2025-06-22 21:29:47,Phản hồi trải nghiệm sau khi mua
226,66,Email,2025-06-24 17:57:29,Xác nhận tồn kho và thời gian giao hàng
227,66,Meeting,2025-10-09 07:02:00,Gửi mã giảm giá 10% cho đơn đầu tiên
228,67,Web,2025-10-09 02:57:00,hành_động='Xem sản phẩm'; sản_phẩm='Sữa rửa mặt dịu nhẹ'; thương_hiệu='AquaSkin'; từ_khóa='trắng da'
229,67,Email,2025-10-09 08:31:00,Phản hồi trải nghiệm sau khi mua
230,67,Web,2025-10-09 06:17:00,hành_động='Xem chi tiết thương hiệu'; sản_phẩm='Nước hoa hồng'; thương_hiệu='GlowMe'; từ_khóa='son lì'
231,67,Chat,2025-10-09 07:45:00,Xác nhận tồn kho và thời gian giao hàng
232,67,Call,2025-10-09 05:18:00,Hỏi tình trạng da và gợi ý routine
233,68,Email,2024-05-08 10:16:05,Phản hồi trải nghiệm sau khi mua
234,68,Chat,2024-12-19 19:53:48,Xác nhận tồn kho và thời gian giao hàng
235,68,Meeting,2024-09-23 19:20:54,Tư vấn combo dưỡng da
236,68,Email,2024-12-15 10:58:19,Hỏi tình trạng da và gợi ý routine
237,68,Call,2024-08-16 16:59:25,Hỏi tình trạng da và gợi ý routine
238,69,Chat,2024-04-27 07:56:16,Phản hồi trải nghiệm sau khi mua
239,69,Call,2024-02-29 05:31:11,Phản hồi trải nghiệm sau khi mua
240,69,Social Media,2024-03-09 01:03:56,Xác nhận tồn kho và thời gian giao hàng
241,69,Call,2023-11-29 23:06:16,Xác nhận tồn kho và thời gian giao hàng
242,69,Call,2024-02-23 23:31:26,Hỏi tình trạng da và gợi ý routine
243,70,Chat,2025-05-29 06:49:40,Tư vấn combo dưỡng da
244,70,Email,2025-09-10 21:32:30,Gửi mã giảm giá 10% cho đơn đầu tiên
245,70,Social Media,2025-06-25 02:39:47,Tư vấn combo dưỡng da
246,71,Meeting,2024-12-24 19:07:52,Hỏi tình trạng da và gợi ý routine
247,71,Email,2025-03-13 08:09:37,Gửi mã giảm giá 10% cho đơn đầu tiên
248,72,Web,2024-08-13 14:06:18,hành_động='Xem sản phẩm'; sản_phẩm='Kem chống nắng SPF50'; thương_hiệu='PureLeaf'; từ_khóa='da nhạy cảm'
249,72,Call,2024-05-07 09:13:30,Gửi mã giảm giá 10% cho đơn đầu tiên
250,72,Social Media,2024-08-19 08:56:02,Phản hồi trải nghiệm sau khi mua
251,72,Web,2024-08-29 08:57:19,hành_động='Thêm vào giỏ hàng'; sản_phẩm='Tẩy trang micellar'; thương_hiệu='Lumi'; từ_khóa='dưỡng ẩm'
252,73,Social Media,2025-07-10 04:27:55,Xác nhận tồn kho và thời gian giao hàng
253,73,Social Media,2024-12-29 18:27:20,Phản hồi trải nghiệm sau khi mua
254,73,Email,2025-09-25 07:10:12,Hỏi tình trạng da và gợi ý routine
255,74,Chat,2025-05-29 21:05:42,Hỏi tình trạng da và gợi ý routine
256,74,Call,2025-08-08 23:29:06,Tư vấn combo dưỡng da
257,75,Chat,2025-02-06 23:54:50,Gửi mã giảm giá 10% cho đơn đầu tiên
258,75,Social Media,2024-09-24 11:48:28,Hỏi tình trạng da và gợi ý routine
259,75,Call,2025-01-29 09:38:20,Gửi mã giảm giá 10% cho đơn đầu tiên
260,75,Call,2025-04-12 12:13:42,Giới thiệu sản phẩm mới ra mắt
261,76,Web,2025-01-05 21:59:45,hành_động='Bỏ vào danh sách quan tâm'; sản_phẩm='Son lì tông nude'; thương_hiệu='PureLeaf'; từ_khóa='trị mụn'
262,76,Social Media,2025-01-25 23:31:28,Phản hồi trải nghiệm sau khi mua
263,76,Call,2025-01-28 19:49:24,Gửi mã giảm giá 10% cho đơn đầu tiên
264,76,Web,2025-05-25 21:01:40,hành_động='Bỏ vào danh sách quan tâm'; sản_phẩm='Tẩy trang micellar'; thương_hiệu='Lumi'; từ_khóa='son lì'
265,77,Call,2025-03-04 21:01:38,Hỏi tình trạng da và gợi ý routine
266,77,Chat,2025-01-18 19:02:46,Phản hồi trải nghiệm sau khi mua
267,77,Chat,2024-12-13 08:46:35,Gửi mã giảm giá 10% cho đơn đầu tiên
268,77,Email,2024-12-20 01:01:23,Hỏi tình trạng da và gợi ý routine
269,77,Social Media,2025-04-01 17:01:00,Gửi mã giảm giá 10% cho đơn đầu tiên
270,78,Email,2024-03-28 16:58:18,Tư vấn combo dưỡng da
271,78,Email,2025-01-02 06:56:08,Hỏi tình trạng da và gợi ý routine
272,78,Meeting,2024-04-28 08:17:37,Giới thiệu sản phẩm mới ra mắt
273,78,Web,2024-05-30 05:18:25,hành_động='Xem sản phẩm'; sản_phẩm='Son lì tông nude'; thương_hiệu='GlowMe'; từ_khóa='trắng da'
274,78,Social Media,2024-03-16 09:21:19,Tư vấn combo dưỡng da
